Date,Random_Forest,Equal_Weight,S&P_500,Nasdaq
2024-01-05,-0.005889,-0.010768,0.018434195278394405,0.030892817472718992
2024-01-12,0.017186,0.006348,0.018434195278394405,0.030892817472718992
2024-01-19,0.008361,0.006568,0.011701916571980497,0.022588351528485484
2024-01-26,0.008663,0.002342,0.010570695054273438,0.009430534288726422
2024-02-02,0.013514,0.025258,0.013829495062599007,0.011231691775627217
2024-02-09,0.017097,0.014063,0.013713520900997533,0.023143586512034853
2024-02-16,-0.000295,-0.004002,-0.004185731464101616,-0.013445959298995058
2024-02-23,0.007252,0.016148,0.016627473672638393,0.01401970228792826
2024-03-01,-0.001922,0.004772,0.009487556062438784,0.017385962444685044
2024-03-08,-0.019902,-0.008225,-0.002606565697850116,-0.01166394918280167
2024-03-15,-0.001579,-0.000681,-0.0012881532121825634,-0.006959257800592367
2024-03-22,0.020338,0.025862,0.022882211492585736,0.028525984062874876
2024-03-29,0.008306,0.003982,0.0038535016368612673,-0.0030044976220808817
2024-04-05,-0.007734,-0.004412,-0.00951787623145961,-0.007994184789960945
2024-04-12,-0.014248,-0.012867,-0.01555042328705536,-0.004519161721704967
2024-04-19,-0.035877,-0.032338,-0.030483637073390857,-0.0552132993851705
2024-04-26,0.015509,0.032446,0.026721126460954592,0.042264769811419134
2024-05-03,0.023972,0.023073,0.005456920904901352,0.014341481419261726
2024-05-10,0.009661,0.011813,0.018505074504980845,0.011422150833149791
2024-05-17,0.022961,0.0244,0.015430744567456633,0.02111886230431015
2024-05-24,0.004614,-0.002066,0.00027345304070114373,0.014072801849701388
2024-05-31,0.008083,0.000956,-0.005129478674975041,-0.010978774722846918
2024-06-07,0.02218,0.015718,0.013165388949644363,0.023789116432257007
2024-06-14,0.015225,0.003174,0.015823829775731824,0.03243715375557876
2024-06-21,0.007983,0.006716,0.006079243489500952,2.7051774999398148e-05
2024-06-28,0.013881,0.014817,-0.00075762571413307,0.0024444205953615405
2024-07-05,0.055027,0.04189,0.0195422309612312,0.034972884399991244
2024-07-12,0.007873,-0.004006,0.008650711895386687,0.002489514040856955
2024-07-19,-0.022,-0.011493,-0.01965150805152971,-0.036498172081843694
2024-07-26,-0.013509,-0.008629,-0.008337856919845565,-0.020819081304242815
2024-08-02,-0.018764,-0.030074,-0.020615126495082348,-0.03351334807732664
2024-08-09,-0.005719,-0.00537,-0.00044886849066483325,-0.0018394778490775643
2024-08-16,0.04537,0.042372,0.03931204110795594,0.05293544340914669
2024-08-23,0.010857,0.009702,0.014468175411846751,0.0139560037002735
2024-08-30,-0.007614,-0.002531,0.0024473813444236825,-0.009182898472572254
2024-09-06,-0.052956,-0.048783,-0.04248636509769299,-0.057740264955471576
2024-09-13,0.037737,0.036714,0.04023358038012925,0.059502756062840945
2024-09-20,0.018902,0.018921,0.013602828445432147,0.014947983244899321
2024-09-27,0.013797,0.007797,0.006246349160899944,0.009542371000071714
2024-10-04,-0.000327,0.00738,0.002248086501337898,0.001007736145379523
2024-10-11,-0.007957,0.000986,0.011121402259480995,0.01130728549232174
2024-10-18,0.014318,0.008233,0.008536523208438895,0.007992793548692756
2024-10-25,0.012576,0.011251,-0.009642453103212434,0.0015716224852508898
2024-11-01,-0.013583,-0.00987,-0.013656796157722972,-0.015049156633825223
2024-11-08,0.054621,0.051481,0.04656127696358747,0.057393858058801595
2024-11-15,-0.017227,-0.019566,-0.02083547454626511,-0.03145471552880241
2024-11-22,0.031296,0.019893,0.016815894163118683,0.017319549600537165
2024-11-29,0.005214,0.01154,0.010560638313883874,0.011288332864502149
2024-12-06,0.022266,0.020542,0.009596566834872311,0.033385052374040214
2024-12-13,0.007511,0.010193,-0.006433241162641545,0.003371195812199579
2024-12-20,-0.015651,-0.013896,-0.019870758689518042,-0.017771167620895367
2024-12-27,0.010424,0.008847,0.006742666807504127,0.007634636710619924
2025-01-03,-0.003863,-0.005033,-0.004751363233422845,-0.005088198981171854
2025-01-10,-0.012714,-0.009095,-0.019424611585417084,-0.023445945273384283
2025-01-17,0.028911,0.029715,0.029109138782370536,0.0244534696870935
2025-01-24,0.012732,0.008757,0.017439720677851378,0.016510355238291696
2025-01-31,-0.014231,-0.001718,-0.00995050954996024,-0.01638049519791418
2025-02-07,0.001421,-0.001996,-0.002406999269663257,-0.005300694609119527
2025-02-14,0.009961,0.015416,0.014709557266100237,0.025782862132290862
2025-02-21,-0.012134,-0.023861,-0.01659953291454397,-0.025104386648105548
2025-02-28,-0.023165,-0.018652,-0.009750310396601236,-0.03466144899914403
2025-03-07,-0.049973,-0.047459,-0.03095134850743131,-0.03454390331329937
2025-03-14,-0.018234,-0.019649,-0.022747954917210822,-0.02429794991984624
2025-03-21,0.01787,0.016986,0.005075442811040665,0.0016875513058500768
2025-03-28,-0.011216,-0.015654,-0.015283493477260546,-0.025925507779200885
2025-04-04,-0.095605,-0.107817,-0.09081980250687571,-0.10016747523584257
2025-04-11,0.05773,0.061003,0.05701127705953479,0.07292059333549128
2025-04-18,-0.02281,-0.014574,-0.015039018455756392,-0.0261898272132276
2025-04-25,0.070257,0.062469,0.04590640328977713,0.06732524550549934
2025-05-02,0.035849,0.029282,0.02922241183212959,0.03421694111222773
2025-05-09,-0.010063,-0.00502,-0.004705700522912859,-0.0027150561056550337
2025-05-16,0.07426,0.06189,0.052734004307985805,0.07151460841406387
2025-05-23,-0.022401,-0.021628,-0.026107777894873285,-0.024667441297516524
2025-05-30,0.016682,0.016977,0.018761588414845765,0.02009683271464735
2025-06-06,0.005986,0.009291,0.014999081946761805,0.02177381530208211
2025-06-13,0.017271,0.010027,-0.003898040945949144,-0.006304119854382284
2025-06-20,0.005528,0.002952,-0.001527591867711675,0.0020910204274289246
2025-06-27,0.025973,0.03381,0.034389324419234146,0.042476133048724884
2025-07-04,0.021989,0.017674,0.01721676191325927,0.016160963975764275
2025-07-11,0.00172,0.005415,-0.0031213576805608767,-0.0007558000686970212
2025-07-18,0.001702,0.003927,0.005917175456288115,0.01506500460967386
2025-07-25,0.021952,0.017206,0.01458681281834906,0.01017771248558108
2025-08-01,-0.015391,-0.019852,-0.023577845655760266,-0.021706580454611935
2025-08-08,0.041391,0.038553,0.024277042739179855,0.038735283438257495
2025-08-15,0.007313,0.008396,0.009445195991867106,0.008063439627549851
2025-08-22,-0.000155,0.00116,0.0026528500233549135,-0.005847547540115294
2025-08-29,-0.001959,0.001454,-0.0010283722000641315,-0.0019067386210789294
2025-09-05,-0.001699,0.00417,0.003287829769325956,0.011411491890665593
2025-09-12,0.022162,0.019114,0.015858989286816394,0.02030880420499348
2025-09-19,0.017496,0.018546,0.012160737717160197,0.022147990299784537
2025-09-26,0.001157,0.00342,-0.0031000228667991125,-0.006513500363069302
2025-10-03,-0.000164,0.003912,0.010850857448513995,0.01318442119264307
2025-10-10,-0.031864,-0.027146,-0.024312891333376663,-0.02528828740234268
2025-10-17,0.018539,0.016782,0.017016380591287072,0.02141649311951066
