Date,LSTM,Equal Weight,Oracle (perfect)
2024-01-05,,-0.03238472802718087,-0.024185282242139887
2024-01-12,,0.06246548022400088,0.07511806499089829
2024-01-19,,0.03495334835936478,0.0462609546696231
2024-01-26,,0.021518992498970137,0.027058749387152015
2024-02-02,0.03147795632217025,0.01665057479193397,0.04404571035748865
2024-02-09,0.027103913394361474,0.038185506519704135,0.050191720262404635
2024-02-16,-0.029728366981554434,-0.030483377342904808,-0.021281524402725856
2024-02-23,0.025672136453567827,0.031805703453999405,0.04417458886297689
2024-03-01,0.013037993423600644,0.0023773674229357507,0.0168221161187166
2024-03-08,-0.0077723052488678415,-0.007390311780057404,0.008392535946812298
2024-03-15,0.019021597696225977,0.015405790063536708,0.023232317897963047
2024-03-22,0.029952178028829296,0.038897085955227007,0.05177785604587665
2024-03-29,-0.011058682364996002,-0.011105279696453408,-0.003104558873742872
2024-04-05,0.00914644096044864,0.0021449518929869795,0.010578586462008953
2024-04-12,0.006871436961213965,0.0149324346871615,0.02369692976887689
2024-04-19,-0.08333953349127515,-0.06804660812920259,-0.052234286988436504
2024-04-26,0.09054480476590224,0.06800497045102852,0.09178186691472903
2024-05-03,0.03172005860844011,0.02105336266269662,0.038184503210797624
2024-05-10,0.007135266909104051,0.009119409508371423,0.012372298892474458
2024-05-17,0.01893816015186059,0.021696584838779877,0.031136543945283684
2024-05-24,0.039008148732312516,0.029614085439966287,0.05461942386525456
2024-05-31,0.0028031867181646034,-0.006277322708280921,0.0047249529297387054
2024-06-07,0.027002916284345275,0.04075197233072858,0.05450102837711188
2024-06-14,0.03132169945856105,0.044838123143817944,0.061814119237992515
2024-06-21,0.008006165340780112,-0.00038557542060779857,0.011572530300828247
2024-06-28,0.011280347247394722,0.0041873542580192595,0.01174495342273767
2024-07-05,0.0430543556712188,0.04412100397054965,0.05236514060139513
2024-07-12,0.002542207819076636,-0.008174299965474295,0.002605569662366816
2024-07-19,-0.05556088383359052,-0.04984611500127505,-0.04030358276595478
2024-07-26,-0.03617896371818681,-0.032026830870447796,-0.023537975845345716
2024-08-02,-0.03344767204613502,-0.03279755285261257,-0.01769020555505474
2024-08-09,-0.015684257617665946,-0.013932442451195227,-0.010769580775154306
2024-08-16,0.08118282835927138,0.06432404695493535,0.0921406345750301
2024-08-23,0.010968763732469437,0.010827886920305074,0.017585460792009733
2024-08-30,-0.005445971163868957,-0.014442800893667118,-0.001415383063154853
2024-09-06,-0.05735984052167881,-0.06547822218973365,-0.04914952357392008
2024-09-13,0.06388533735191444,0.0738374062652449,0.09690390920039335
2024-09-20,0.02159436637477205,0.015357938613385417,0.025121289550993214
2024-09-27,-0.007719396792202089,0.002270725910659622,0.01226084861352133
2024-10-04,-0.003556287205852585,0.001581666186466913,0.010955782796339781
2024-10-11,0.024260793098161457,0.014508352980296488,0.028886605868070386
2024-10-18,0.009649949381497155,0.012580321194861455,0.018334698464199883
2024-10-25,0.003976946393409819,0.007889717593517932,0.015348771400076316
2024-11-01,0.0107056889353459,-0.006288307301022478,0.011862141225792187
2024-11-08,0.041857801953091946,0.04623050595115097,0.05732665340522846
2024-11-15,-0.022697561204798197,-0.024872827203036588,-0.01992061252951444
2024-11-22,-0.013837989122733778,-0.009131632004668178,0.001857230817651493
2024-11-29,0.013249519117736943,0.020389383137089802,0.032280455802401964
2024-12-06,0.04790206594429846,0.045434921447055306,0.055760582648799975
2024-12-13,-0.0074261803702267305,0.012201521682988494,0.03272538899620368
2024-12-20,0.0011608971908421803,0.0004674804167076989,0.008368699000409107
2024-12-27,0.003810197741802889,0.001883955656423653,0.006841221352743809
2025-01-03,0.006544813631443398,-0.0026288589576880066,0.012253868035723184
2025-01-10,-0.023218444258525647,-0.023701793612273536,-0.014537371562166383
2025-01-17,0.016699564670391354,0.012178288597751497,0.021029752004224706
2025-01-24,0.02739072148469209,0.020058984343306642,0.03043629645466607
2025-01-31,-0.044714468134618865,-0.02659952790727245,0.008016708752268793
2025-02-07,-0.03076249661772045,-0.018867694439075898,0.005729169777155575
2025-02-14,0.01317723531634761,0.02761557334642528,0.04274815486265525
2025-02-21,-0.019500716018477315,-0.022294151730293477,-0.01263503288954436
2025-02-28,-0.03429288607873108,-0.037080350930395564,-0.027505415519921788
2025-03-07,-0.012611249976772751,-0.031796653119999865,-0.012465643384641883
2025-03-14,-0.04255299840624455,-0.018810789894106453,0.008855136419709794
2025-03-21,-0.002116329823873819,-0.00422895841094535,0.004174430029547959
2025-03-28,-0.03552203356881298,-0.03569167488556144,-0.02407985703989128
2025-04-04,-0.08214401895469878,-0.09897075653639249,-0.08170973240995802
2025-04-11,0.08055738449499389,0.09359350045807223,0.11029890244968829
2025-04-18,-0.040031863992673875,-0.04971738376494056,-0.03727406241048391
2025-04-25,0.07146254374867968,0.07760708966823536,0.083824546473383
2025-05-02,0.021104019882743394,0.028302494474833576,0.04733076315373042
2025-05-09,-0.003948048033203663,-0.011812808020362352,0.0031548069534185954
2025-05-16,0.07144661512963989,0.08263359347580276,0.10093354517746658
2025-05-23,-0.03612948546935424,-0.024740415631336752,-0.01139595078471
2025-05-30,0.022950222301978244,0.023969640641675484,0.025853061528280583
2025-06-06,0.034102527975422944,0.027773734529099904,0.034534563720860514
2025-06-13,-0.006895602018270338,-0.005262802648472342,0.0017585819883599051
2025-06-20,-0.011169338840616074,-0.0031588702489684364,0.007699251665068352
2025-06-27,0.05535393025300675,0.05442371064218837,0.06942217083722926
2025-07-04,0.013302708049131546,0.016807149910531116,0.025308680233733522
2025-07-11,0.006128203748696848,0.008738255916653292,0.015253389048649153
2025-07-18,0.010652587510493383,0.01816836223468843,0.025684136958883476
2025-07-25,0.016066083460030384,0.018728587388650908,0.024823077067276395
2025-08-01,-0.02817552326636314,-0.02506683950085498,-0.009083259775609488
2025-08-08,0.03927850886131367,0.0565923931522322,0.07675478996043167
2025-08-15,0.007804963412806016,0.008726621223748277,0.016421791499191127
2025-08-22,-0.01336777005286601,-0.010757128851163046,-0.005537619369490154
2025-08-29,-0.001038422432951512,0.006110396649095385,0.014729826350897791
2025-09-05,0.0017196003993027072,0.017327902895254987,0.040348843143037674
2025-09-12,0.017725999213120236,0.015601234732795243,0.030555394318014482
2025-09-19,0.01745632613189722,0.026103097544086067,0.036955426302933234
2025-09-26,0.001902335580967453,-0.00919523530717432,0.005667863440749911
2025-10-03,0.022130273393571195,0.013680585116705847,0.022229934310071312
2025-10-10,-0.03008030783844611,-0.02712556661415788,-0.020751715908304838
2025-10-17,0.02956072999661439,0.01788108539235478,0.031248591802741612
2025-10-24,0.031493312184804376,0.03128516413151373,0.03754429029579405
2025-10-31,0.06256851290947,0.05517315198080745,0.07244359502943182
2025-11-07,-0.030768462802915904,-0.025199347482913415,-0.013419261133445855
2025-11-14,-0.004406148773236978,0.000770906649469705,0.011215934180835515
2025-11-21,-0.0014340348404017489,-0.022577059723050644,0.0023367066799376696
2025-11-28,0.025288453452811683,0.03679660331809312,0.0493060508890025
2025-12-05,0.003747555967503327,-1.822683169598778e-05,0.007737181687984043
2025-12-12,-0.022026423582379103,-0.02074607752942019,-0.013736346730618527
2025-12-19,0.011514031820847152,0.006245831592519548,0.01449134762244757
2025-12-26,0.025920558986364403,0.01976415435936223,0.028194147872571435
2026-01-02,-0.011363823951581035,-0.013592115020915996,-0.007641185857259458
2026-01-09,0.026336520006882552,0.017068220847220348,0.039416762257451846
2026-01-16,-0.016268421159415822,-0.015531452877086658,-0.006671716684195455
2026-01-23,0.0025456668397551233,-0.002790146707267672,0.0037847780364953436
2026-01-30,0.007333777532972676,0.003872828706792111,0.02223774905160996
2026-02-06,-0.049279448609971035,-0.03850378775341945,-0.010257379134090491
2026-02-13,-0.04026183289924325,-0.04031668201194898,-0.026826964006261063
2026-02-20,0.029838362621489815,0.029704249409036935,0.03927757459991049
2026-02-27,-0.024928496181949984,-0.018178946153573985,-0.008724425318764738
