Date,Open,High,Low,Close,Volume,SMA_5,SMA_10,SMA_20,SMA_50,EMA_10,EMA_20,RSI_14,MACD,MACD_Signal,MACD_Hist,BB_Upper,BB_Lower,BB_Width,Vol_SMA_10,Vol_Change_Pct,Weekly_Return,Return_Lag1,Return_Lag2,Return_Lag3,Ticker,SP500_Proxy,Excess_Return,Rank_AAPL,Rank_AMZN,Rank_GOOGL,Rank_MSFT,Rank_NVDA,Weekly_Rank
2015-01-23,-0.6623653011704043,-0.6519185196469132,-0.6573621543618412,-0.6806727358120099,0.06705753618078907,-0.6952848489248652,-0.6920680265463369,,,-0.6929083167143691,-0.6913534272368714,0.04395008340633986,-0.4030769312551869,-0.441905376546428,0.03707674691039859,,,,0.3893966563293097,-1.0611129756490665,1.3797036245796315,-1.4609445870332405,0.4100443954404819,,AAPL,1.401563504907054,0.47856740204048653,2,1,3,5,4,2
2015-01-23,-0.8644299725504113,-0.8527693652054733,-0.8637426514011816,-0.8383438376290928,-0.28934276245446083,-0.8533841322641055,-0.8526430090334729,,,-0.8512776722963947,-0.8485312366814097,-0.27576344721354223,-0.5255007861795142,-0.5611995822443677,0.002951829941212804,,,,-0.35351505759128793,2.1176666621106723,1.5869062094909212,-0.6809544571386653,-1.076067878383221,,AMZN,1.401563504907054,0.7997956357657617,2,1,3,5,4,1
2015-01-23,-0.6839975287633978,-0.6705837689958819,-0.6768098697611616,-0.6493062506632923,-0.571086729800256,-0.6712233288476833,-0.6750789656933001,,,-0.6704938414818293,-0.6668520462122863,0.008704001050879212,-0.528280363766719,-0.6220086421170624,0.17888374304818688,,,,-0.5249215123126073,-0.43770235876362734,1.2843134655774624,0.27678825033624144,-1.4769460424581844,,GOOGL,1.401563504907054,0.33068308725667833,2,1,3,5,4,3
2015-01-23,-0.3454203908306366,-0.3496052930119079,-0.34133677912288357,-0.4273925616164831,-0.63262122613745,-0.4386033334853167,-0.43378266567026047,,,-0.43434391999705224,-0.4292909019371613,-0.2886283347169975,-0.4733404481445449,-0.49679349787436816,-0.02380842810434079,,,,-0.6358191678358889,-0.7962967132923586,0.29479522563818283,-0.6585496281423727,0.03522747781711293,,MSFT,1.401563504907054,-1.2033769081373216,2,1,3,5,4,5
2015-01-23,-1.0959931361026822,-1.0973319912906783,-1.0956063617223903,-1.0919594822540175,-0.17737635344935995,-1.0935439099429811,-1.0941255369283447,,,-1.0942976042817283,-1.0956561089981394,0.35758514436627453,-0.40589278670271506,-0.4321516034843005,-0.0017184303110499473,,,,0.2251835470364771,-0.9277328725076533,0.8093424486697778,-0.18350167441048626,-0.18045112087553034,,NVDA,1.401563504907054,-0.40566921692560504,2,1,3,5,4,4
2015-01-30,-0.6382748658963889,-0.6270315205149549,-0.6468000330673825,-0.6650733608450005,1.203854938255967,-0.6803081761758082,-0.6869323697354066,-0.6871030454380304,,-0.6836720978541239,-0.6857839037318864,0.27015909403542465,-0.24731826616582064,-0.3629753728098965,0.3020495726821781,-0.6844159706544152,-0.6889904616396773,0.10547297179967358,0.5969157383094613,0.9503442572801867,0.7021326168083178,1.3794273369939616,-1.4577279097049143,0.40698780600459983,AAPL,-0.6099364920457526,1.8111012961584585,2,1,3,5,4,2
2015-01-30,-0.8486974433918706,-0.8187890394676073,-0.8528452246688037,-0.8029517073275986,0.10789582406312317,-0.8408937322520808,-0.8469799887491273,-0.8467782853343508,,-0.8440003110236687,-0.8449668265803216,0.28432937351583926,-0.37275649487577944,-0.488327220650384,0.2765745676004535,-0.8384629703231504,-0.8546446954842843,0.9338887791317291,-0.26125825236953404,3.874688198735879,3.0367170766619616,1.5865093584231915,-0.6778392128512126,-1.081102745879189,AMZN,-0.6099364920457526,5.430430866020406,2,1,3,5,4,1
2015-01-30,-0.6603987350255868,-0.6723386214987763,-0.6818394513299514,-0.6528286901719718,-0.4531513041983155,-0.6597432934011148,-0.6652757612219987,-0.6683753867762634,,-0.6637686749999229,-0.6631694240424549,0.11353164142669282,-0.38664163288343933,-0.501585512835334,0.2718772572170933,-0.6700646120035441,-0.665446856357595,-0.19019111143930012,-0.5428059130366008,1.7019548834634999,-0.3703431357005069,1.284092681979489,0.2797789459256144,-1.4825145496331495,GOOGL,-0.6099364920457526,0.1484314417302855,2,1,3,5,4,3
2015-01-30,-0.3339487549858673,-0.35375312620056754,-0.42734262394918865,-0.5240080452831211,-0.3129604906547044,-0.4578660435646311,-0.4464850995098553,-0.44495620902255,,-0.4518889143098089,-0.4396073138090954,-1.515679562338726,-0.7658028471997977,-0.5967574863064861,-0.6680552590624701,-0.42121571834905763,-0.4705380828627708,0.8686936717336372,-0.5360602647387762,3.6428987925612213,-3.6073249489748593,0.29515020592182256,-0.6554372974686289,0.031671940826766797,MSFT,-0.6099364920457526,-4.869893744338876,2,1,3,5,4,5
2015-01-30,-1.095665375078546,-1.0973319912906783,-1.09577401444135,-1.0926304231128139,0.6017239518750194,-1.093521982164432,-1.0940501992892853,-1.096750333698626,,-1.094296126237922,-1.0956378185540796,-0.4288430681899765,-0.4061310216362506,-0.4308863530887349,-0.006339007124585918,-1.0993278934976423,-1.0921600119983874,-0.24087828929559854,0.1808307367825583,1.8231120799703435,-2.091612655058795,0.8093980330509993,-0.18045112087553034,-0.18429376419514856,NVDA,-0.6099364920457526,-2.520069859570275,2,1,3,5,4,4
